club_name,player_name,age,position,club_involved_name,fee,transfer_type,transfer_movement,transfer_period,fee_cleaned,year,season
Crystal Palace,Tony Scully,18,midfield,Bournemouth,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Newcastle United,Darren Peacock,26,Centre-Back,QPR,€5.00m,Transfer,in,Summer,5,1994,1994/1995
Newcastle United,Paul Kitson,23,Centre-Forward,Derby,€3.38m,Transfer,in,Summer,3.38,1994,1994/1995
Newcastle United,Marc Hottiger,26,Right-Back,FC Sion,€800Th.,Transfer,in,Summer,0.8,1994,1994/1995
Newcastle United,Steve Guppy,25,Left Winger,Wycombe,€200Th.,Transfer,in,Summer,0.2,1994,1994/1995
Newcastle United,Philippe Albert,27,Centre-Back,RSC Anderlecht,free transfer,Transfer,in,Summer,0,1994,1994/1995
Newcastle United,Richard Appleby,18,midfield,Newcastle U18,-,Transfer,in,Summer,NA,1994,1994/1995
Newcastle United,Mike Hooper,31,Goalkeeper,Sunderland,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Newcastle United,Richard Appleby,19,midfield,Darlington,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Newcastle United,Mark Robinson,25,Right-Back,Swindon Town,€745Th.,Transfer,out,Summer,0.745,1994,1994/1995
Newcastle United,Liam O'Brien,29,Defensive Midfield,Tranmere Rovers,€425Th.,Transfer,out,Summer,0.425,1994,1994/1995
Newcastle United,Nikodimos Papavasiliou,24,Left Winger,OFI Crete FC,free transfer,Transfer,out,Summer,0,1994,1994/1995
Newcastle United,Matty Appleby,22,Defensive Midfield,Darlington,free transfer,Transfer,out,Summer,0,1994,1994/1995
Newcastle United,Kevin Brock,32,midfield,Stockport,free transfer,Transfer,out,Summer,0,1994,1994/1995
Newcastle United,Richard Appleby,18,midfield,Darlington,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Newcastle United,Mike Hooper,31,Goalkeeper,Retired,-,Transfer,out,Summer,NA,1994,1994/1995
Nottingham Forest,Kevin Campbell,24,Centre-Forward,Arsenal,€4.20m,Transfer,in,Summer,4.2,1994,1994/1995
Nottingham Forest,Bryan Roy,24,Left Winger,Foggia,€2.50m,Transfer,in,Summer,2.5,1994,1994/1995
Nottingham Forest,Vance Warner,20,defence,Nottingham U18,-,Transfer,in,Summer,NA,1994,1994/1995
Nottingham Forest,John Burns,16,midfield,Nottingham U18,-,Transfer,in,Summer,NA,1994,1994/1995
Nottingham Forest,Kingsley Black,26,Left Midfield,Sheff Utd,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Nottingham Forest,Carl Tiler,25,Centre-Back,Swindon Town,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Nottingham Forest,Gary Bull,28,attack,Birmingham,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Nottingham Forest,Lee Glover,24,attack,Port Vale,€240Th.,Transfer,out,Summer,0.24,1994,1994/1995
Nottingham Forest,Gary Crosby,30,midfield,Huddersfield,free transfer,Transfer,out,Summer,0,1994,1994/1995
Nottingham Forest,Gary Bull,28,attack,Birmingham,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Arsenal FC,Stefan Schwarz,25,Central Midfield,Benfica,€1.00m,Transfer,in,Summer,1,1994,1994/1995
Arsenal FC,Lee Harper,22,Goalkeeper,Sittingbourne FC,€180Th.,Transfer,in,Summer,0.18,1994,1994/1995
Arsenal FC,Vince Bartram,25,Goalkeeper,Bournemouth,?,Transfer,in,Summer,NA,1994,1994/1995
Arsenal FC,Matthew Rose,18,Right-Back,Arsenal U18,-,Transfer,in,Summer,NA,1994,1994/1995
Arsenal FC,Paul Shaw,21,Centre-Forward,Burnley,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Arsenal FC,Kevin Campbell,24,Centre-Forward,Nottm Forest,€4.20m,Transfer,out,Summer,4.2,1994,1994/1995
Arsenal FC,Alan Miller,24,Goalkeeper,Middlesbrough,?,Transfer,out,Summer,NA,1994,1994/1995
Arsenal FC,Scott Marshall,21,Centre-Back,Sheff Utd,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Chelsea FC,Paul Furlong,25,Centre-Forward,Watford,€3.50m,Transfer,in,Summer,3.5,1994,1994/1995
Chelsea FC,David Rocastle,27,Attacking Midfield,Man City,€1.48m,Transfer,in,Summer,1.48,1994,1994/1995
Chelsea FC,Scott Minto,22,Left-Back,Charlton,€1.15m,Transfer,in,Summer,1.15,1994,1994/1995
Chelsea FC,Alan Judge,34,Goalkeeper,Hereford Utd.,loan transfer,Loan,in,Summer,NA,1994,1994/1995
Chelsea FC,Muzzy Izzet,19,Attacking Midfield,Chelsea U18,-,Transfer,in,Summer,NA,1994,1994/1995
Chelsea FC,Paul Hughes,18,Central Midfield,Chelsea U18,-,Transfer,in,Summer,NA,1994,1994/1995
Chelsea FC,Nick Colgan,21,Goalkeeper,Grimsby Town,"End of loanMay 1, 1995",Loan,in,Summer,NA,1994,1994/1995
Chelsea FC,David Lee,25,Centre-Back,Portsmouth,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Chelsea FC,Andy Dow,22,Left-Back,Bradford,"End of loanMay 31, 1995",Loan,in,Summer,NA,1994,1994/1995
Chelsea FC,Tony Cascarino,31,Centre-Forward,Marseille,free transfer,Transfer,out,Summer,0,1994,1994/1995
Chelsea FC,Nick Colgan,21,Goalkeeper,Grimsby Town,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Chelsea FC,Andy Dow,21,Left-Back,Bradford,loan transfer,Loan,out,Summer,NA,1994,1994/1995
Chelsea FC,David Lee,24,Centre-Back,Portsmouth,loan transfer,Loan,out,Summer,NA,1994,1994/1995
